zipcode,latitude,longitude,city,state,county
94002,37.516644,-122.29339,Belmont,CA,San Mateo
94003,37.381144,-122.334825,Belmont,CA,San Mateo
94005,37.689182,-122.404332,Brisbane,CA,San Mateo
94010,37.567086,-122.367573,Burlingame,CA,San Mateo
94011,37.381144,-122.334825,Burlingame,CA,San Mateo
94012,37.381144,-122.334825,Burlingame,CA,San Mateo
94013,,,Daly City,CA,San Mateo
94014,37.687509,-122.438783,Daly City,CA,San Mateo
94015,37.676864,-122.475234,Daly City,CA,San Mateo
94016,37.381144,-122.334825,Daly City,CA,San Mateo
94017,37.381144,-122.334825,Daly City,CA,San Mateo
94018,37.510085,-122.473404,El Granada,CA,San Mateo
94019,37.389057,-122.415566,Half Moon Bay,CA,San Mateo
94020,37.272556,-122.249528,La Honda,CA,San Mateo
94021,37.279692,-122.314831,Loma Mar,CA,San Mateo
94022,37.238842,-121.885066,Los Altos,CA,Santa Clara
94023,37.189396,-121.705327,Los Altos,CA,Santa Clara
94024,37.189396,-121.705327,Los Altos,CA,Santa Clara
94025,37.439616,-122.186373,Menlo Park,CA,San Mateo
94026,37.381144,-122.334825,Menlo Park,CA,San Mateo
94027,37.450627,-122.199439,Atherton,CA,San Mateo
94028,37.370194,-122.218176,Portola Valley,CA,San Mateo
94029,37.381144,-122.334825,Menlo Park,CA,San Mateo
94030,37.598385,-122.400083,Millbrae,CA,San Mateo
94031,37.381144,-122.334825,Millbrae,CA,San Mateo
94035,37.189396,-121.705327,Mountain View,CA,Santa Clara
94037,37.542789,-122.505152,Montara,CA,San Mateo
94038,37.52019,-122.499618,Moss Beach,CA,San Mateo
94039,37.189396,-121.705327,Mountain View,CA,Santa Clara
94040,37.189396,-121.705327,Mountain View,CA,Santa Clara
94041,37.189396,-121.705327,Mountain View,CA,Santa Clara
94042,37.189396,-121.705327,Mountain View,CA,Santa Clara
94043,37.189396,-121.705327,Mountain View,CA,Santa Clara
94044,37.616774,-122.480015,Pacifica,CA,San Mateo
94045,37.381144,-122.334825,Pacifica,CA,San Mateo
94059,37.381144,-122.334825,Redwood City,CA,San Mateo
94060,37.211194,-122.343782,Pescadero,CA,San Mateo
94061,37.462158,-122.235639,Redwood City,CA,San Mateo
94062,37.424539,-122.295997,Redwood City,CA,San Mateo
94063,37.490387,-122.212846,Redwood City,CA,San Mateo
94064,37.381144,-122.334825,Redwood City,CA,San Mateo
94065,37.53256,-122.247806,Redwood City,CA,San Mateo
94066,37.623159,-122.436034,San Bruno,CA,San Mateo
94067,37.381144,-122.334825,San Bruno,CA,San Mateo
94070,37.498586,-122.29815,San Carlos,CA,San Mateo
94071,37.381144,-122.334825,San Carlos,CA,San Mateo
94074,37.328292,-122.360233,San Gregorio,CA,San Mateo
94080,37.657443,-122.423483,South San Francisco,CA,San Mateo
94083,37.381144,-122.334825,South San Francisco,CA,San Mateo
94085,,,Sunnyvale,CA,Santa Clara
94086,37.189396,-121.705327,Sunnyvale,CA,Santa Clara
94087,37.189396,-121.705327,Sunnyvale,CA,Santa Clara
94088,37.189396,-121.705327,Sunnyvale,CA,Santa Clara
94089,37.189396,-121.705327,Sunnyvale,CA,Santa Clara
94090,37.189396,-121.705327,Sunnyvale,CA,Santa Clara
94096,37.381144,-122.334825,San Bruno,CA,San Mateo
94098,37.381144,-122.334825,San Bruno,CA,San Mateo
94099,37.381144,-122.334825,South San Francisco,CA,San Mateo
94101,37.784827,-122.727802,San Francisco,CA,San Francisco
94102,37.779278,-122.416582,San Francisco,CA,San Francisco
94103,37.775678,-122.412131,San Francisco,CA,San Francisco
94104,37.790728,-122.401732,San Francisco,CA,San Francisco
94105,37.789595,-122.395631,San Francisco,CA,San Francisco
94106,37.784827,-122.727802,San Francisco,CA,San Francisco
94107,37.769029,-122.393681,San Francisco,CA,San Francisco
94108,37.791028,-122.408782,San Francisco,CA,San Francisco
94109,37.795219,-122.420782,San Francisco,CA,San Francisco
94110,37.748932,-122.416281,San Francisco,CA,San Francisco
94111,37.773579,-122.405331,San Francisco,CA,San Francisco
94112,37.721981,-122.439382,San Francisco,CA,San Francisco
94114,37.758279,-122.439332,San Francisco,CA,San Francisco
94115,37.786028,-122.437032,San Francisco,CA,San Francisco
94116,37.743857,-122.483232,San Francisco,CA,San Francisco
94117,37.769079,-122.443882,San Francisco,CA,San Francisco
94118,37.778779,-122.459982,San Francisco,CA,San Francisco
94119,37.784827,-122.727802,San Francisco,CA,San Francisco
94120,37.784827,-122.727802,San Francisco,CA,San Francisco
94121,37.777129,-122.491682,San Francisco,CA,San Francisco
94122,37.761179,-122.475732,San Francisco,CA,San Francisco
94123,37.79967,-122.435732,San Francisco,CA,San Francisco
94124,37.73123,-122.382857,San Francisco,CA,San Francisco
94125,37.784827,-122.727802,San Francisco,CA,San Francisco
94126,37.784827,-122.727802,San Francisco,CA,San Francisco
94127,37.73403,-122.458632,San Francisco,CA,San Francisco
94128,37.621582,-122.392882,San Francisco,CA,San Mateo
94129,37.798878,-122.465682,San Francisco,CA,San Francisco
94130,37.819763,-122.368433,San Francisco,CA,San Francisco
94131,37.74363,-122.443182,San Francisco,CA,San Francisco
94132,37.722631,-122.482483,San Francisco,CA,San Francisco
94133,37.801928,-122.410182,San Francisco,CA,San Francisco
94134,37.72168,-122.410832,San Francisco,CA,San Francisco
94135,37.784827,-122.727802,San Francisco,CA,San Francisco
94136,37.784827,-122.727802,San Francisco,CA,San Francisco
94137,37.784827,-122.727802,San Francisco,CA,San Francisco
94138,37.784827,-122.727802,San Francisco,CA,San Francisco
94139,37.784827,-122.727802,San Francisco,CA,San Francisco
94140,37.784827,-122.727802,San Francisco,CA,San Francisco
94141,37.784827,-122.727802,San Francisco,CA,San Francisco
94142,37.784827,-122.727802,San Francisco,CA,San Francisco
94143,37.76313,-122.458582,San Francisco,CA,San Francisco
94144,37.784827,-122.727802,San Francisco,CA,San Francisco
94145,37.784827,-122.727802,San Francisco,CA,San Francisco
94146,37.784827,-122.727802,San Francisco,CA,San Francisco
94147,37.784827,-122.727802,San Francisco,CA,San Francisco
94150,37.784827,-122.727802,San Francisco,CA,San Francisco
94151,37.784827,-122.727802,San Francisco,CA,San Francisco
94152,37.784827,-122.727802,San Francisco,CA,San Francisco
94153,37.784827,-122.727802,San Francisco,CA,San Francisco
94154,37.784827,-122.727802,San Francisco,CA,San Francisco
94155,37.784827,-122.727802,San Francisco,CA,San Francisco
94156,37.784827,-122.727802,San Francisco,CA,San Francisco
94157,37.784827,-122.727802,San Francisco,CA,San Francisco
94159,37.784827,-122.727802,San Francisco,CA,San Francisco
94160,37.784827,-122.727802,San Francisco,CA,San Francisco
94161,37.784827,-122.727802,San Francisco,CA,San Francisco
94162,37.784827,-122.727802,San Francisco,CA,San Francisco
94163,37.784827,-122.727802,San Francisco,CA,San Francisco
94164,37.784827,-122.727802,San Francisco,CA,San Francisco
94165,37.784827,-122.727802,San Francisco,CA,San Francisco
94166,37.784827,-122.727802,San Francisco,CA,San Francisco
94167,37.784827,-122.727802,San Francisco,CA,San Francisco
94168,37.784827,-122.727802,San Francisco,CA,San Francisco
94169,37.784827,-122.727802,San Francisco,CA,San Francisco
94170,37.784827,-122.727802,San Francisco,CA,San Francisco
94171,37.784827,-122.727802,San Francisco,CA,San Francisco
94172,37.784827,-122.727802,San Francisco,CA,San Francisco
94175,37.784827,-122.727802,San Francisco,CA,San Francisco
94177,37.784827,-122.727802,San Francisco,CA,San Francisco
94188,37.784827,-122.727802,San Francisco,CA,San Francisco
94301,37.189396,-121.705327,Palo Alto,CA,Santa Clara
94302,37.189396,-121.705327,Palo Alto,CA,Santa Clara
94303,37.467338,-122.138765,Palo Alto,CA,San Mateo
94304,37.189396,-121.705327,Palo Alto,CA,Santa Clara
94305,37.189396,-121.705327,Stanford,CA,Santa Clara
94306,37.189396,-121.705327,Palo Alto,CA,Santa Clara
94307,37.381144,-122.334825,Palo Alto,CA,San Mateo
94308,37.381144,-122.334825,Palo Alto,CA,San Mateo
94309,37.189396,-121.705327,Palo Alto,CA,Santa Clara
